id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-0336,0.0,0.0,0.0,0.0,78.58924731,20.66666667,28.22222222,0.0483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-0302,0.0,0.0,0.0,0.0,70.62222222,21.0,34.66666667,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01587302,0.0,0.0,0.0,0
FS-1572,0.0,0.0,0.0,0.0,62.31126761,17.75,24.6875,0.14084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04225352,0.0,0.0,0.0,0
FS-2653,0.0,0.0,0.0,0.0,76.02823529,13.6,33.84,0.07352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-1092,0.0,0.0,0.0,0.0,81.86363636,13.75,22.6875,0.16363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03636364,0.0,0.0,0.0,0
FS-3016,0.0,0.0,0.0,0.0,73.94193548,15.5,25.25,0.06451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0100,0.0,0.0,0.0,0.0,68.65384615,16.25,20.1875,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01538462,0.0,0.0,0.0,0
FS-0263,0.0,0.0,0.0,0.0,71.68181818,13.75,27.1875,0.12727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818182,0.0,0.0,0.0,2
FS-1705,0.0,0.0,0.0,0.0,75.34814815,18.0,28.66666667,0.05555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0993,0.0,0.0,0.0,0.0,80.66666667,21.66666667,106.88888889,0.13846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03076923,0.0,0.0,0.0,0
FS-2332,0.0,0.0,0.0,0.0,75.6969697,18.33333333,54.88888889,0.12727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03636364,0.0,0.0,0.0,2
FS-1476,0.0,0.0,0.0,0.0,76.46521739,17.25,12.6875,0.15942029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01449275,0.0,0.0,0.0,0
FS-1883,0.0,0.0,0.0,0.0,78.2137931,14.5,8.25,0.12068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01724138,0.0,0.0,0.0,2
FS-1010,0.0,0.0,0.0,0.0,79.33333333,15.0,35.0,0.13333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333,0.0,0.0,0.0,0
FS-0502,0.0,0.0,0.0,0.0,69.65490196,22.66666667,80.88888889,0.08823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01470588,0.0,0.0,0.0,2
FS-1695,0.0,0.0,0.0,0.0,74.26666667,19.0,34.66666667,0.14035088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01754386,0.0,0.0,0.0,0
FS-3084,0.0,0.0,0.0,0.0,78.56470588,17.0,23.5,0.05882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01470588,0.0,0.0,0.0,0
FS-2108,0.0,0.0,0.0,0.0,80.66666667,20.0,14.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01666667,0.0,0.0,0.0,0
FS-2419,0.0,0.0,0.0,0.0,73.56666667,17.25,18.6875,0.08695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01449275,0.0,0.0,0.0,2
FS-0775,0.0,0.0,0.0,0.0,78.96666667,12.0,3.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04166667,0.0,0.0,0.0,2
FS-0138,0.0,0.0,0.0,0.0,70.66666667,20.0,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-0099,0.0,0.0,0.0,0.0,74.23650794,15.75,18.1875,0.0952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-0767,0.0,0.0,0.0,0.0,78.5245283,26.5,6.25,0.13207547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01886792,0.0,0.0,0.0,0
FS-0234,0.0,0.0,0.0,0.0,66.1244898,12.25,9.1875,0.12244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02040816,0.0,0.0,0.0,2
FS-0580,0.0,0.0,0.0,0.0,64.78787879,18.33333333,6.88888889,0.07272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818182,0.0,0.0,0.0,0
FS-1434,0.0,0.0,0.0,0.0,76.5,11.25,10.6875,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-2664,0.0,0.0,0.0,0.0,74.77877551,19.6,46.64,0.09183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03061224,0.0,0.0,0.0,0
FS-2357,0.0,0.0,0.0,0.0,63.73076923,16.25,6.1875,0.06153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
